latitude,longitude,province
38.6756,29.2123,Uşak
38.6738,29.2238,Uşak
38.6234,29.4862,Uşak
38.6162,29.4723,Uşak
38.7385,26.948,İzmir
37.8877,30.4085,Isparta
37.8857,30.4207,Isparta
37.8485,30.526,Isparta
37.7457,30.3198,Burdur
37.7722,29.8146,Denizli
37.8082,29.2499,Denizli
36.8241,34.6545,Mersin
36.9819,35.4025,Adana
36.9863,35.1943,Adana
38.6734,29.2174,Uşak
39.9116,41.1856,Erzurum
39.8778,41.2332,Erzurum
36.6474,35.1914,Adana
40.4374,27.1395,Çanakkale
39.9485,32.7801,Ankara
39.7471,33.4618,Kırıkkale
38.6776,29.2156,Uşak
38.676,29.2278,Uşak
37.1171,27.3368,Muğla
37.1167,27.3299,Muğla
38.3512,27.2275,İzmir
38.497,27.0399,İzmir
39.5862,27.8427,Balıkesir
41.2701,27.5915,Tekirdağ
40.9138,38.3244,Giresun
39.7965,37.0991,Sivas
38.3379,38.1746,Malatya
38.3353,38.1887,Malatya
38.7769,35.4267,Kayseri
38.7088,35.6243,Kayseri
38.6998,35.622,Kayseri
38.7067,35.343,Kayseri
38.6785,34.7401,Nevşehir
37.7809,38.2155,Adıyaman
37.604,36.7577,Kahramanmaraş
37.5347,36.9891,Kahramanmaraş
37.5269,36.921,Kahramanmaraş
37.117,38.6549,Şanlıurfa
37.073,37.4379,Gaziantep
36.9678,37.4391,Gaziantep
36.9787,35.2569,Adana
36.6905,34.4356,Mersin
37.1645,37.313,Gaziantep
37.161,37.2951,Gaziantep
37.9042,40.0946,Diyarbakır
38.0677,40.0425,Diyarbakır
38.0656,40.0297,Diyarbakır
37.7711,38.2117,Adıyaman
38.3376,38.1861,Malatya
38.3348,38.1707,Malatya
38.3839,30.7399,Afyonkarahisar
38.3856,30.7814,Afyonkarahisar
38.3751,30.7408,Afyonkarahisar
41.2717,27.5982,Tekirdağ
40.3905,27.0551,Çanakkale
37.0609,30.6232,Antalya
38.6163,29.4696,Uşak
38.6779,29.2204,Uşak
38.6736,29.1949,Uşak
39.7401,30.6459,Eskişehir
39.8973,30.0451,Bilecik
40.2013,29.1757,Bursa
40.1747,28.7834,Bursa
40.2678,29.0706,Bursa
40.7456,29.9576,Kocaeli
41.2732,27.5881,Kırklareli
41.3364,27.4719,Kırklareli
41.0221,40.5234,Rize
40.9545,39.9661,
38.6222,39.3011,Elâzığ
38.3369,38.174,Malatya
38.3351,38.1853,Malatya
37.9633,40.1179,Diyarbakır
37.7758,38.2114,Adıyaman
37.1465,38.7269,Şanlıurfa
37.1446,38.7385,Şanlıurfa
38.5834,43.3091,Van
40.1788,28.8275,Bursa
40.6865,29.408,
40.2062,29.2867,Bursa
40.2042,29.1832,Bursa
40.2022,29.1954,Bursa
40.0934,29.5018,Bursa
40.0727,29.5295,Bursa
40.4393,27.1391,Çanakkale
40.1776,28.776999999999997,Bursa
40.1756,28.789,Bursa
39.1851,27.6063,Manisa
38.6802,29.2303,Uşak
38.6278,29.4786,Uşak
38.6184,29.476,Uşak
37.8095,29.2543,Denizli
37.8061,29.247,Denizli
37.8117,29.2417,Denizli
36.8373,35.4207,Adana
37.9364,34.6035,Niğde
36.6698,39.2113,Şanlıurfa
37.7638,32.524,Konya
36.6683,39.1977,
36.8389,35.4317,Adana
38.6747,29.197,Uşak
38.6751,29.2018,Uşak
39.811,32.3955,Ankara
39.9894,32.7389,Ankara
40.0824,32.9663,Ankara
39.7124,43.0075,Ağrı
37.900999999999996,41.2372,Batman
37.9584,40.1171,Diyarbakır
36.8302,38.5729,Şanlıurfa
36.8283,38.5891,Şanlıurfa
36.8265,38.6006,Şanlıurfa
40.8385,33.2195,Çankırı
38.7922,30.5601,Afyonkarahisar
40.0862,32.9784,Ankara
39.9899,32.7379,Ankara
39.9614,32.5265,Ankara
38.6768,29.2219,Uşak
38.6214,29.479,Uşak
37.1601,37.2999,Gaziantep
37.922,32.5165,Konya
37.9167,32.5226,Konya
37.9123,32.5483,Konya
37.7468,30.3176,Burdur
37.1662,37.3242,Gaziantep
37.1609,37.29,Gaziantep
37.9448,34.6093,Niğde
38.260999999999996,34.0094,Aksaray
38.7002,35.6273,Kayseri
38.6981,35.6147,Kayseri
40.4798,34.8636,Çorum
40.4777,34.8507,Çorum
41.1794,32.6315,Karabük
37.603,27.4423,Aydın
40.2304,29.9137,Bilecik
40.4843,34.8622,Çorum
36.8735,39.5115,Şanlıurfa
38.3374,38.1792,Malatya
38.7048,35.6293,Kayseri
38.6954,35.6267,Kayseri
37.1695,37.3264,Gaziantep
37.1621,37.3076,Gaziantep
37.2161,33.3122,Karaman
37.2191,39.8209,Şanlıurfa
37.1566,37.3084,Gaziantep
37.1538,37.2937,Gaziantep
38.0682,40.0365,Diyarbakır
38.3365,38.1768,Malatya
39.7901,37.0894,Sivas
40.9675,37.9343,Ordu
39.7921,37.094,Sivas
38.3373,38.1784,Malatya
37.7745,38.21,Adıyaman
37.6017,36.7668,Kahramanmaraş
37.5999,36.7782,Kahramanmaraş
36.814,39.7544,Şanlıurfa
39.3134,29.659000000000002,Kütahya
38.4972,33.2887,Konya
37.8998,41.2418,Batman
36.8714,39.4658,Şanlıurfa
36.8018,34.4798,Mersin
37.1321,38.9175,Şanlıurfa
35.8603,36.0867,
35.8585,36.0752,
